Strike,Type,MarketPrice,TimeToExpiry
50.0,call,133.325,0.013689253935660506
60.0,call,123.35,0.013689253935660506
65.0,call,118.35,0.013689253935660506
70.0,call,113.35,0.013689253935660506
75.0,call,108.35,0.013689253935660506
80.0,call,103.35,0.013689253935660506
85.0,call,98.44999999999999,0.013689253935660506
90.0,call,93.4,0.013689253935660506
95.0,call,88.4,0.013689253935660506
100.0,call,83.75,0.013689253935660506
105.0,call,77.82499999999999,0.013689253935660506
110.0,call,73.5,0.013689253935660506
115.0,call,68.025,0.013689253935660506
120.0,call,63.1,0.013689253935660506
125.0,call,58.375,0.013689253935660506
130.0,call,53.325,0.013689253935660506
135.0,call,48.025,0.013689253935660506
140.0,call,43.525000000000006,0.013689253935660506
145.0,call,39.025000000000006,0.013689253935660506
150.0,call,33.35,0.013689253935660506
155.0,call,28.575,0.013689253935660506
160.0,call,24.225,0.013689253935660506
165.0,call,18.55,0.013689253935660506
167.5,call,16.5,0.013689253935660506
170.0,call,14.225,0.013689253935660506
172.5,call,12.0,0.013689253935660506
175.0,call,9.925,0.013689253935660506
177.5,call,7.875,0.013689253935660506
180.0,call,6.075,0.013689253935660506
182.5,call,4.475,0.013689253935660506
185.0,call,3.1500000000000004,0.013689253935660506
187.5,call,2.105,0.013689253935660506
190.0,call,1.3450000000000002,0.013689253935660506
192.5,call,0.825,0.013689253935660506
195.0,call,0.495,0.013689253935660506
197.5,call,0.295,0.013689253935660506
200.0,call,0.175,0.013689253935660506
202.5,call,0.11499999999999999,0.013689253935660506
150.0,put,0.13,0.013689253935660506
155.0,put,0.18,0.013689253935660506
160.0,put,0.265,0.013689253935660506
165.0,put,0.435,0.013689253935660506
167.5,put,0.5700000000000001,0.013689253935660506
170.0,put,0.775,0.013689253935660506
172.5,put,1.0550000000000002,0.013689253935660506
175.0,put,1.45,0.013689253935660506
177.5,put,1.9899999999999998,0.013689253935660506
180.0,put,2.6799999999999997,0.013689253935660506
182.5,put,3.5999999999999996,0.013689253935660506
185.0,put,4.8,0.013689253935660506
187.5,put,6.225,0.013689253935660506
190.0,put,7.875,0.013689253935660506
192.5,put,9.850000000000001,0.013689253935660506
195.0,put,12.149999999999999,0.013689253935660506
197.5,put,14.475,0.013689253935660506
200.0,put,16.9,0.013689253935660506
202.5,put,19.299999999999997,0.013689253935660506
205.0,put,21.75,0.013689253935660506
207.5,put,24.325000000000003,0.013689253935660506
210.0,put,26.674999999999997,0.013689253935660506
215.0,put,31.85,0.013689253935660506
220.0,put,36.575,0.013689253935660506
225.0,put,41.8,0.013689253935660506
230.0,put,46.825,0.013689253935660506
235.0,put,51.8,0.013689253935660506
250.0,put,66.825,0.013689253935660506
255.0,put,71.775,0.013689253935660506
270.0,put,86.875,0.013689253935660506
50.0,call,133.35,0.03285420944558522
60.0,call,123.35,0.03285420944558522
65.0,call,118.375,0.03285420944558522
70.0,call,113.4,0.03285420944558522
75.0,call,108.42500000000001,0.03285420944558522
80.0,call,103.42500000000001,0.03285420944558522
90.0,call,93.45,0.03285420944558522
95.0,call,88.575,0.03285420944558522
100.0,call,83.6,0.03285420944558522
105.0,call,78.55,0.03285420944558522
110.0,call,73.625,0.03285420944558522
115.0,call,69.55,0.03285420944558522
120.0,call,63.75,0.03285420944558522
125.0,call,58.65,0.03285420944558522
130.0,call,53.275,0.03285420944558522
135.0,call,48.55,0.03285420944558522
140.0,call,44.275000000000006,0.03285420944558522
145.0,call,38.675,0.03285420944558522
150.0,call,33.8,0.03285420944558522
155.0,call,28.975,0.03285420944558522
160.0,call,24.325,0.03285420944558522
165.0,call,19.799999999999997,0.03285420944558522
170.0,call,15.7,0.03285420944558522
175.0,call,11.725000000000001,0.03285420944558522
180.0,call,8.325,0.03285420944558522
185.0,call,5.5,0.03285420944558522
190.0,call,3.3499999999999996,0.03285420944558522
195.0,call,1.91,0.03285420944558522
200.0,call,1.03,0.03285420944558522
205.0,call,0.54,0.03285420944558522
210.0,call,0.295,0.03285420944558522
215.0,call,0.16999999999999998,0.03285420944558522
220.0,call,0.10500000000000001,0.03285420944558522
130.0,put,0.12,0.03285420944558522
135.0,put,0.15000000000000002,0.03285420944558522
140.0,put,0.2,0.03285420944558522
145.0,put,0.27,0.03285420944558522
150.0,put,0.38,0.03285420944558522
155.0,put,0.56,0.03285420944558522
160.0,put,0.86,0.03285420944558522
165.0,put,1.34,0.03285420944558522
170.0,put,2.085,0.03285420944558522
175.0,put,3.2,0.03285420944558522
180.0,put,4.8,0.03285420944558522
185.0,put,7.0,0.03285420944558522
190.0,put,9.850000000000001,0.03285420944558522
195.0,put,13.4,0.03285420944558522
200.0,put,17.45,0.03285420944558522
205.0,put,22.125,0.03285420944558522
210.0,put,26.875,0.03285420944558522
215.0,put,31.8,0.03285420944558522
220.0,put,36.775,0.03285420944558522
225.0,put,41.8,0.03285420944558522
230.0,put,46.775,0.03285420944558522
250.0,put,66.775,0.03285420944558522
260.0,put,76.8,0.03285420944558522
50.0,call,133.39999999999998,0.05201916495550993
55.0,call,128.39999999999998,0.05201916495550993
70.0,call,113.525,0.05201916495550993
90.0,call,93.69999999999999,0.05201916495550993
95.0,call,88.75,0.05201916495550993
100.0,call,83.1,0.05201916495550993
105.0,call,78.65,0.05201916495550993
110.0,call,73.30000000000001,0.05201916495550993
115.0,call,68.42500000000001,0.05201916495550993
120.0,call,64.025,0.05201916495550993
125.0,call,58.15,0.05201916495550993
130.0,call,53.8,0.05201916495550993
135.0,call,48.900000000000006,0.05201916495550993
140.0,call,43.975,0.05201916495550993
145.0,call,39.125,0.05201916495550993
150.0,call,34.3,0.05201916495550993
155.0,call,29.675,0.05201916495550993
160.0,call,25.049999999999997,0.05201916495550993
165.0,call,20.85,0.05201916495550993
170.0,call,16.7,0.05201916495550993
175.0,call,12.95,0.05201916495550993
180.0,call,9.675,0.05201916495550993
185.0,call,6.85,0.05201916495550993
190.0,call,4.65,0.05201916495550993
195.0,call,3.0149999999999997,0.05201916495550993
200.0,call,1.875,0.05201916495550993
205.0,call,1.145,0.05201916495550993
210.0,call,0.6950000000000001,0.05201916495550993
215.0,call,0.43,0.05201916495550993
220.0,call,0.28,0.05201916495550993
225.0,call,0.19,0.05201916495550993
230.0,call,0.135,0.05201916495550993
110.0,put,0.10500000000000001,0.05201916495550993
115.0,put,0.12,0.05201916495550993
120.0,put,0.14500000000000002,0.05201916495550993
125.0,put,0.18,0.05201916495550993
130.0,put,0.22,0.05201916495550993
135.0,put,0.28,0.05201916495550993
140.0,put,0.37,0.05201916495550993
145.0,put,0.5,0.05201916495550993
150.0,put,0.7,0.05201916495550993
155.0,put,1.005,0.05201916495550993
160.0,put,1.46,0.05201916495550993
165.0,put,2.11,0.05201916495550993
170.0,put,3.025,0.05201916495550993
175.0,put,4.3,0.05201916495550993
180.0,put,6.0,0.05201916495550993
185.0,put,8.175,0.05201916495550993
190.0,put,10.975000000000001,0.05201916495550993
195.0,put,14.325,0.05201916495550993
200.0,put,18.299999999999997,0.05201916495550993
205.0,put,22.7,0.05201916495550993
210.0,put,27.2,0.05201916495550993
215.0,put,32.0,0.05201916495550993
220.0,put,36.9,0.05201916495550993
225.0,put,41.8,0.05201916495550993
230.0,put,46.875,0.05201916495550993
235.0,put,51.724999999999994,0.05201916495550993
240.0,put,56.75,0.05201916495550993
